T0080	1020
GST019	0
GST020	593
Abt019	503
Emt012	571
T0085	865
T0033	634
MAT015	995
T0082	857
T0065	822
abt034	522
EMT014	575
T0050	223481268
T0049	993
Emt011	14426
Grt003	14453
T0060	813
Abt035	523
T0083	16801
T0075	844
T0044	16672
T0076	1335675806
GST002	581
T0107	914
cpt004	560
T0046	763
T0088	873
T0113	916
T0093	884
T0108	915
GST017	519
Grt002	577
T0056	804
T0112	919
T0111	920
gst001	58
T0092	882
T0040	710
T0120	950
T0061	938
abt021	513
T0030	724
T0095	888
Abt020	507
abt031	520
T0109	923
Emt010	677
T0094	929
T0114	886
T0048	97
T0052	768
T0097	690
T0116	890
GST018	716
gst007	69
T0027	44
T0099	24
Abt022	19
Aqt006	23
cpt005	679
T0071	515
T0072	516
T0105	709
T0127	836
